question_text,girudo_question_id
悪の組織の本拠地を襲撃する前に、数週間前から魔法の力を蓄えておくべきだと思いますか？,1
未知の脅威に備えて、防御魔法を最も強化するべきだと思いますか？,1
チームで戦う時、自分の好きな魔法よりも、得意な魔法で役割を決めるべきだと思いますか？,1
戦闘中に強力な魔法を閃きました。考えてから唱えるべきだと思いますか？それとも今すぐ唱えてみますか？(YES→考えてから唱える／NO→すぐに唱える),1
古代の魔法書に記された呪文が、最も安全に唱えられる魔法だと思いますか？,1
個人の夢よりも、みんなで決めた大きな夢を叶えることが、未来を守るために大切だと思いますか？,1
魔法の才能に恵まれた者が、リーダーであるべきだと思いますか？,1
時間をかけてでも適切なレベルの敵を倒していくことで、強力な敵に立ち向かうことができると思いますか？,1
魔法書に示された詠唱の順番に従うことは、重要なことだと思いますか？,1
Girudo1の質問終了,1
新たな魔法を習得する前に、過去の魔法少女たちの魔法から学ぶことは必要だと思いますか？,2
静寂に包まれた秘密の庭、活気あふれる集いの場、どちらにインスピレーションを感じますか？(YES→秘密の庭／NO→集いの場),2
星々の光に照らされた夜空のような、時代を超えた美しさを持つ魔法が存在すると思いますか？,2
"""古の魔法""と""未来の魔法""どちらかを習得できるとしたら、どちらを選びますか？(YES→古の魔法／NO→未来の魔法)",2
魔法学校での学びや新しい仲間との絆を深めることは、卒業することよりも大切なことだと思いますか？,2
"ペアを組むとしたらどちらを選びますか？　""私だけが理解できるパートナー""　""みんながうらやむパートナー""(YES→私だけが理解できるパートナー／NO→みんながうらやむパートナー)",2
禁忌の魔法でも、誰かの命を救うためなら使用しますか？,2
目の前に仇敵がいます。今この瞬間なら自分の手で倒すことができます。しかし、捕らえるよう命じられています。倒しますか？,2
他人の意見に影響されず、自分の信念に従うことが、魔法少女の魅力を高めると思いますか？,2
Girudo2の質問終了,2
変化する状況に対して、柔軟に対応することは得意ですか？,3
2つの分かれ道があります。直感と心の声に耳を傾け左に進むか、石碑に刻まれている文字を参考に右に進むか、あなたならどちらを選びますか？(YES→左／NO→右),3
パーティーメンバーを強化するバフ魔法か、敵を弱体化させるデバフ魔法どちらが好きですか？(YES→バフ／NO→デバフ),3
魔法が正確に命中すれば、少しの詠唱ミスは気にしませんか？,3
未来の戦況を予測し、それに対応するために強力な魔法陣を展開しておくことが、現在の戦況に基づいた戦略よりも重要だと思いますか？,3
"""今を生きる最強の魔法少女""と""伝説の魔法少女""、どちらに憧れますか？(YES→今を生きる魔法少女／NO→伝説の魔法少女)",3
過去に遭遇した悪の組織が再び現れました。新しく習得した強大な魔法で攻撃しますか？それとも以前追い込んだ魔法で攻撃しますか？(YES→新しい魔法／NO→以前追い込んだ魔法),3
「私はいつかあなたの力になるでしょう。どうか仲間に加えてください。」という魔法少女が現れました。あなたは彼女を仲間にしますか？,3
"""未来予知の魔法""と""高度な分析魔法""どちらを習得したいですか？(YES→未来予知の魔法／NO→高度な分析魔法)",3
Girudo3の質問終了,3
急ぎの任務よりも、怪我をしている仲間の治癒を優先しますか？,4
戦略的な作戦よりも、絆や信頼を深めることが強さにつながると思いますか？,4
仲間がピンチの時、共に前衛で敵と戦いますか？それとも、後衛でサポートして支えますか？(YES→共に戦う／NO→サポート),4
目の前に怪しげながらも魅力的な宝箱が置いてあります。開けてみますか？,4
自分の目標に夢中になり、周囲の状況を見落とすことがありますか？,4
"""Lv100の使い魔""と""今はLv1だけど、将来的にはLv100を超える可能性がある使い魔""、どちらを仲間に加えますか？(YES→Lv100／NO→今はLv1の使い魔)",4
仲間との絆を深め、心を1つにすることが、困難な任務を乗り越える上で最も有効な魔法であると思いますか？,4
誰かが犠牲になる必要がある場合、1人に全ての責任を負わせるのは公平ではないので、皆で犠牲になることを選択しますか？,4
"""個人の感情""と""チームの団結力""どちらを重視しますか？(YES→個人の感情／NO→チームの団結力)",4
Girudo4の質問終了,4